ned 11 okt 2020 14:49:36 WEST
PING 34.125.29.204 (34.125.29.204) 56(84) bytes of data.
64 bytes from 34.125.29.204: icmp_seq=1 ttl=59 time=226 ms
64 bytes from 34.125.29.204: icmp_seq=2 ttl=59 time=249 ms
64 bytes from 34.125.29.204: icmp_seq=3 ttl=59 time=185 ms
64 bytes from 34.125.29.204: icmp_seq=4 ttl=59 time=192 ms
64 bytes from 34.125.29.204: icmp_seq=5 ttl=59 time=214 ms
64 bytes from 34.125.29.204: icmp_seq=6 ttl=59 time=237 ms
64 bytes from 34.125.29.204: icmp_seq=7 ttl=59 time=260 ms
64 bytes from 34.125.29.204: icmp_seq=8 ttl=59 time=282 ms
64 bytes from 34.125.29.204: icmp_seq=9 ttl=59 time=203 ms
64 bytes from 34.125.29.204: icmp_seq=10 ttl=59 time=225 ms
64 bytes from 34.125.29.204: icmp_seq=11 ttl=59 time=248 ms
64 bytes from 34.125.29.204: icmp_seq=12 ttl=59 time=270 ms
64 bytes from 34.125.29.204: icmp_seq=13 ttl=59 time=200 ms
64 bytes from 34.125.29.204: icmp_seq=14 ttl=59 time=213 ms
64 bytes from 34.125.29.204: icmp_seq=15 ttl=59 time=236 ms
64 bytes from 34.125.29.204: icmp_seq=16 ttl=59 time=187 ms
64 bytes from 34.125.29.204: icmp_seq=17 ttl=59 time=284 ms
64 bytes from 34.125.29.204: icmp_seq=18 ttl=59 time=201 ms
64 bytes from 34.125.29.204: icmp_seq=19 ttl=59 time=226 ms
64 bytes from 34.125.29.204: icmp_seq=20 ttl=59 time=248 ms
64 bytes from 34.125.29.204: icmp_seq=21 ttl=59 time=270 ms
64 bytes from 34.125.29.204: icmp_seq=22 ttl=59 time=190 ms
64 bytes from 34.125.29.204: icmp_seq=23 ttl=59 time=222 ms
64 bytes from 34.125.29.204: icmp_seq=24 ttl=59 time=236 ms
64 bytes from 34.125.29.204: icmp_seq=25 ttl=59 time=259 ms
64 bytes from 34.125.29.204: icmp_seq=26 ttl=59 time=281 ms
64 bytes from 34.125.29.204: icmp_seq=27 ttl=59 time=202 ms
64 bytes from 34.125.29.204: icmp_seq=28 ttl=59 time=224 ms
64 bytes from 34.125.29.204: icmp_seq=29 ttl=59 time=248 ms
64 bytes from 34.125.29.204: icmp_seq=30 ttl=59 time=272 ms

--- 34.125.29.204 ping statistics ---
30 packets transmitted, 30 received, 0% packet loss, time 29038ms
rtt min/avg/max/mdev = 185.394/233.023/284.122/30.022 ms
---------------------------------------------------------------
